Year,State,State Code,Ten-Year Age Groups,Multiple Cause of death,Multiple Cause of death Code,Deaths,Population,Crude Rate
1999,Alabama,1,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,25,410542,6.1
1999,Alabama,1,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,17,315928,Unreliable
1999,Alabama,1,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,56,315928,17.7
1999,Alabama,1,65-74 years,Removal of other organ (partial) (total),Y83.6,16,315928,Unreliable
1999,Alabama,1,65-74 years,Other surgical procedures,Y83.8,10,315928,Unreliable
1999,Alabama,1,65-74 years,"Surgical procedure, unspecified",Y83.9,26,315928,8.2
1999,Alabama,1,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,30,194773,15.4
1999,Alabama,1,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,49,194773,25.2
1999,Alabama,1,75-84 years,Removal of other organ (partial) (total),Y83.6,21,194773,10.8
1999,Alabama,1,75-84 years,"Surgical procedure, unspecified",Y83.9,26,194773,13.3
1999,Alabama,1,85+ years,Surgical operation with implant of artificial internal device,Y83.1,14,65953,Unreliable
1999,Alabama,1,85+ years,"Surgical procedure, unspecified",Y83.9,13,65953,Unreliable
1999,Arizona,4,55-64 years,Surgical operation with transplant of whole organ,Y83.0,10,427747,Unreliable
1999,Arizona,4,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,11,427747,Unreliable
1999,Arizona,4,55-64 years,Removal of other organ (partial) (total),Y83.6,10,427747,Unreliable
1999,Arizona,4,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,30,362714,8.3
1999,Arizona,4,65-74 years,Removal of other organ (partial) (total),Y83.6,10,362714,Unreliable
1999,Arizona,4,65-74 years,"Surgical procedure, unspecified",Y83.9,15,362714,Unreliable
1999,Arizona,4,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,13,231098,Unreliable
1999,Arizona,4,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,29,231098,12.5
1999,Arizona,4,75-84 years,Removal of other organ (partial) (total),Y83.6,13,231098,Unreliable
1999,Arizona,4,75-84 years,"Surgical procedure, unspecified",Y83.9,24,231098,10.4
1999,Arizona,4,85+ years,"Surgical procedure, unspecified",Y83.9,10,66200,Unreliable
1999,Arkansas,5,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,17,251017,Unreliable
1999,Arkansas,5,55-64 years,"Surgical procedure, unspecified",Y83.9,13,251017,Unreliable
1999,Arkansas,5,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,28,197936,14.1
1999,Arkansas,5,65-74 years,Removal of other organ (partial) (total),Y83.6,12,197936,Unreliable
1999,Arkansas,5,65-74 years,"Surgical procedure, unspecified",Y83.9,21,197936,10.6
1999,Arkansas,5,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,12,128798,Unreliable
1999,Arkansas,5,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,25,128798,19.4
1999,Arkansas,5,75-84 years,Removal of other organ (partial) (total),Y83.6,11,128798,Unreliable
1999,Arkansas,5,75-84 years,"Surgical procedure, unspecified",Y83.9,23,128798,17.9
1999,Arkansas,5,85+ years,"Surgical procedure, unspecified",Y83.9,15,45862,Unreliable
1999,California,6,35-44 years,Surgical operation with transplant of whole organ,Y83.0,14,5462186,Unreliable
1999,California,6,35-44 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,14,5462186,Unreliable
1999,California,6,35-44 years,Other surgical procedures,Y83.8,12,5462186,Unreliable
1999,California,6,45-54 years,Surgical operation with transplant of whole organ,Y83.0,23,4189310,0.5
1999,California,6,45-54 years,Surgical operation with implant of artificial internal device,Y83.1,10,4189310,Unreliable
1999,California,6,45-54 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,19,4189310,Unreliable
1999,California,6,45-54 years,Removal of other organ (partial) (total),Y83.6,24,4189310,0.6
1999,California,6,45-54 years,Other surgical procedures,Y83.8,10,4189310,Unreliable
1999,California,6,55-64 years,Surgical operation with transplant of whole organ,Y83.0,27,2543047,1.1
1999,California,6,55-64 years,Surgical operation with implant of artificial internal device,Y83.1,13,2543047,Unreliable
1999,California,6,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,41,2543047,1.6
1999,California,6,55-64 years,Other reconstructive surgery,Y83.4,14,2543047,Unreliable
1999,California,6,55-64 years,Removal of other organ (partial) (total),Y83.6,41,2543047,1.6
1999,California,6,55-64 years,Other surgical procedures,Y83.8,18,2543047,Unreliable
1999,California,6,65-74 years,Surgical operation with transplant of whole organ,Y83.0,13,1888004,Unreliable
1999,California,6,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,41,1888004,2.2
1999,California,6,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,103,1888004,5.5
1999,California,6,65-74 years,Surgical operation with formation of external stoma,Y83.3,10,1888004,Unreliable
1999,California,6,65-74 years,Other reconstructive surgery,Y83.4,25,1888004,1.3
1999,California,6,65-74 years,Amputation of limb(s),Y83.5,19,1888004,Unreliable
1999,California,6,65-74 years,Removal of other organ (partial) (total),Y83.6,54,1888004,2.9
1999,California,6,65-74 years,Other surgical procedures,Y83.8,50,1888004,2.6
1999,California,6,65-74 years,"Surgical procedure, unspecified",Y83.9,27,1888004,1.4
1999,California,6,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,70,1259639,5.6
1999,California,6,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,97,1259639,7.7
1999,California,6,75-84 years,Surgical operation with formation of external stoma,Y83.3,13,1259639,Unreliable
1999,California,6,75-84 years,Other reconstructive surgery,Y83.4,61,1259639,4.8
1999,California,6,75-84 years,Amputation of limb(s),Y83.5,18,1259639,Unreliable
1999,California,6,75-84 years,Removal of other organ (partial) (total),Y83.6,84,1259639,6.7
1999,California,6,75-84 years,Other surgical procedures,Y83.8,43,1259639,3.4
1999,California,6,75-84 years,"Surgical procedure, unspecified",Y83.9,32,1259639,2.5
1999,California,6,85+ years,Surgical operation with implant of artificial internal device,Y83.1,48,413264,11.6
1999,California,6,85+ years,"Surgical operation with anastomosis, bypass or graft",Y83.2,30,413264,7.3
1999,California,6,85+ years,Other reconstructive surgery,Y83.4,24,413264,5.8
1999,California,6,85+ years,Amputation of limb(s),Y83.5,16,413264,Unreliable
1999,California,6,85+ years,Removal of other organ (partial) (total),Y83.6,42,413264,10.2
1999,California,6,85+ years,Other surgical procedures,Y83.8,33,413264,8
1999,California,6,85+ years,"Surgical procedure, unspecified",Y83.9,16,413264,Unreliable
1999,Colorado,8,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,10,329046,Unreliable
1999,Colorado,8,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,27,224419,12
1999,Colorado,8,65-74 years,Other reconstructive surgery,Y83.4,11,224419,Unreliable
1999,Colorado,8,65-74 years,Removal of other organ (partial) (total),Y83.6,10,224419,Unreliable
1999,Colorado,8,65-74 years,"Surgical procedure, unspecified",Y83.9,20,224419,8.9
1999,Colorado,8,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,12,139103,Unreliable
1999,Colorado,8,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,15,139103,Unreliable
1999,Colorado,8,75-84 years,Other reconstructive surgery,Y83.4,10,139103,Unreliable
1999,Colorado,8,75-84 years,Removal of other organ (partial) (total),Y83.6,15,139103,Unreliable
1999,Colorado,8,75-84 years,"Surgical procedure, unspecified",Y83.9,23,139103,16.5
1999,Colorado,8,85+ years,Surgical operation with implant of artificial internal device,Y83.1,13,47252,Unreliable
1999,Colorado,8,85+ years,"Surgical procedure, unspecified",Y83.9,18,47252,Unreliable
1999,Connecticut,9,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,15,302459,Unreliable
1999,Connecticut,9,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,12,233337,Unreliable
1999,Connecticut,9,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,30,233337,12.9
1999,Connecticut,9,65-74 years,Other reconstructive surgery,Y83.4,11,233337,Unreliable
1999,Connecticut,9,65-74 years,Removal of other organ (partial) (total),Y83.6,24,233337,10.3
1999,Connecticut,9,65-74 years,Other surgical procedures,Y83.8,13,233337,Unreliable
1999,Connecticut,9,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,16,173198,Unreliable
1999,Connecticut,9,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,25,173198,14.4
1999,Connecticut,9,75-84 years,Other reconstructive surgery,Y83.4,25,173198,14.4
1999,Connecticut,9,75-84 years,Removal of other organ (partial) (total),Y83.6,37,173198,21.4
1999,Connecticut,9,75-84 years,Other surgical procedures,Y83.8,19,173198,Unreliable
1999,Connecticut,9,75-84 years,"Surgical procedure, unspecified",Y83.9,14,173198,Unreliable
1999,Connecticut,9,85+ years,Surgical operation with implant of artificial internal device,Y83.1,16,62821,Unreliable
1999,Connecticut,9,85+ years,"Surgical operation with anastomosis, bypass or graft",Y83.2,13,62821,Unreliable
1999,Connecticut,9,85+ years,Other reconstructive surgery,Y83.4,10,62821,Unreliable
